,mean_gyro_x,mean_gyro_x,mean_gyro_x,mean_gyro_x,mean_gyro_x,mean_gyro_x,mean_gyro_x,mean_gyro_x,mean_gyro_y,mean_gyro_y,mean_gyro_y,mean_gyro_y,mean_gyro_y,mean_gyro_y,mean_gyro_y,mean_gyro_y,mean_gyro_z,mean_gyro_z,mean_gyro_z,mean_gyro_z,mean_gyro_z,mean_gyro_z,mean_gyro_z,mean_gyro_z,std_gyro_x,std_gyro_x,std_gyro_x,std_gyro_x,std_gyro_x,std_gyro_x,std_gyro_x,std_gyro_x,std_gyro_y,std_gyro_y,std_gyro_y,std_gyro_y,std_gyro_y,std_gyro_y,std_gyro_y,std_gyro_y,std_gyro_z,std_gyro_z,std_gyro_z,std_gyro_z,std_gyro_z,std_gyro_z,std_gyro_z,std_gyro_z,median_gyro_x,median_gyro_x,median_gyro_x,median_gyro_x,median_gyro_x,median_gyro_x,median_gyro_x,median_gyro_x,median_gyro_y,median_gyro_y,median_gyro_y,median_gyro_y,median_gyro_y,median_gyro_y,median_gyro_y,median_gyro_y,median_gyro_z,median_gyro_z,median_gyro_z,median_gyro_z,median_gyro_z,median_gyro_z,median_gyro_z,median_gyro_z
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
gesture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clockwise,3.0,1.3969265250510723,0.2526629053942015,1.1062910616963524,1.3132357244015846,1.5201803871068171,1.5422442567284325,1.5643081263500476,3.0,0.796783301475756,0.1457681394199974,0.6483048315028431,0.7253345475389581,0.8023642635750732,0.8710225364622125,0.9396808093493518,3.0,-1.5266934506065624,0.10249270732026808,-1.636869378381028,-1.5729504210749639,-1.5090314637688995,-1.4716054867193296,-1.4341795096697596,3.0,3.5367927521833527,0.33856282617707767,3.2068270969523884,3.363517547084145,3.520207997215902,3.701775579798835,3.8833431623817685,3.0,3.640505934128667,0.38330470424842683,3.2462292277630316,3.4548564707151623,3.6634837136672926,3.8376442873114844,4.011804860955676,3.0,3.0418870683459693,0.5194251734294403,2.4483657845360773,2.8560839099786985,3.26380203542132,3.338647710250915,3.41349338508051,3.0,1.16095962175,0.7530704861666523,0.29348010425000004,0.917990785625,1.5425014670000001,1.5946993805,1.646897294,3.0,0.7400030365666668,0.22114502664754176,0.55606753265,0.617320202625,0.6785728726,0.8319707885250001,0.98536870445,3.0,-1.6179576786666665,0.24898539699999936,-1.8775268495000002,-1.73637943075,-1.5952320119999999,-1.48817309325,-1.3811141745
forward_thrust,4.0,0.013833519070225203,0.01797782572774202,-0.0011372914392872133,0.0037232248850110373,0.008398625315963575,0.01850891950117774,0.03967411708826088,4.0,-8.366756177699032e-05,0.04376335067998491,-0.03346281490688717,-0.033357103309435344,-0.012834222677860701,0.020439213069797655,0.05879659001550062,4.0,0.029597204920670625,0.010339245727212894,0.014317479843502437,0.027960555876707257,0.03361295609116106,0.03524960513512442,0.03684542765685794,4.0,1.9232861707837592,0.4635794805437381,1.5331060881607672,1.552769045848935,1.832601971717428,2.2031190966522525,2.494834651539414,4.0,1.8511038015914505,0.25996339579545824,1.5354683658937691,1.7696187492286466,1.8483745793783561,1.9298596317411598,2.1721976817153203,4.0,0.8096199848518804,0.15093055898390279,0.6632204414015871,0.699413334073026,0.7913219219250709,0.9015285727039252,0.9926156541557923,4.0,0.32743537115,0.07391419686683212,0.28176220534999996,0.28256115301249995,0.295610631325,0.3404848494625,0.4367580166,4.0,0.5074649087750001,0.14886486777027239,0.33875380455000004,0.4082622253125,0.513723323725,0.6129260071875,0.6636591831,4.0,0.168977420125,0.06234958229803199,0.1166463489,0.127831616025,0.15180004975,0.19294585385000002,0.2556632321
horizontal_swipe,1.0,0.014998109805744104,,0.014998109805744104,0.014998109805744104,0.014998109805744104,0.014998109805744104,0.014998109805744104,1.0,0.037376376384450696,,0.037376376384450696,0.037376376384450696,0.037376376384450696,0.037376376384450696,0.037376376384450696,1.0,0.03332281590532971,,0.03332281590532971,0.03332281590532971,0.03332281590532971,0.03332281590532971,0.03332281590532971,1.0,0.7652152073919581,,0.7652152073919581,0.7652152073919581,0.7652152073919581,0.7652152073919581,0.7652152073919581,1.0,0.9491195966783705,,0.9491195966783705,0.9491195966783705,0.9491195966783705,0.9491195966783705,0.9491195966783705,1.0,4.3495128272524965,,4.3495128272524965,4.3495128272524965,4.3495128272524965,4.3495128272524965,4.3495128272524965,1.0,0.05006738204,,0.05006738204,0.05006738204,0.05006738204,0.05006738204,0.05006738204,1.0,0.04687159143,,0.04687159143,0.04687159143,0.04687159143,0.04687159143,0.04687159143,1.0,-0.3312969598,,-0.3312969598,-0.3312969598,-0.3312969598,-0.3312969598,-0.3312969598
vertical_updown,2.0,0.05473821810875244,0.022335677482030244,0.03894450909881319,0.04684136360378282,0.05473821810875244,0.06263507261372207,0.0705319271186917,2.0,-0.024617572640090284,0.018547524172754983,-0.03773265275686674,-0.031175112698478512,-0.024617572640090284,-0.01806003258170205,-0.011502492523313822,2.0,-0.016986842466317223,0.02100349846659454,-0.03183855866068747,-0.024412700563502348,-0.016986842466317223,-0.009560984369132096,-0.0021351262719469704,2.0,0.5088764701986581,0.03772237521656295,0.4822027228805631,0.4955395965396106,0.5088764701986581,0.5222133438577057,0.5355502175167531,2.0,1.9561649361805484,1.298050174773101,1.0383048552781056,1.497234895729327,1.9561649361805484,2.41509497663177,2.8740250170829915,2.0,2.6709694931979504,0.8727568289542862,2.053837221117507,2.3624033571577288,2.6709694931979504,2.9795356292381725,3.288101765278394,2.0,0.06311686452,0.029753575272883068,0.04207790968,0.0525973871,0.06311686452,0.07363634193999999,0.08415581936,2.0,0.18775269618499998,0.17061227635599874,0.06711159862,0.1274321474025,0.18775269618499998,0.2480732449675,0.30839379375,2.0,0.353667477375,0.04971481105867919,0.31851379734999996,0.3360906373625,0.353667477375,0.37124431738749997,0.3888211574
wrist_twist,3.0,-0.08810584717801447,0.050515750268978636,-0.12027684850330869,-0.11721759742944429,-0.11415834635557988,-0.07202034651536734,-0.0298823466751548,3.0,0.06887839129520541,0.004268113466306492,0.06572741773967888,0.06644973986498309,0.0671720619902873,0.07045387807296868,0.07373569415565007,3.0,0.02660486513186705,0.025427876728487724,3.4278466662968454e-05,0.014552046145775124,0.02906981382488728,0.03989015846446909,0.050710503104050904,3.0,0.6483936948682946,0.12814821646436605,0.5018263929422778,0.6029415787049526,0.7040567644676273,0.7216773458313028,0.7392979271949784,3.0,0.5503600582354343,0.06179998663318802,0.48586476524578254,0.5210121449012097,0.556159524556637,0.5826077047302602,0.6090558849038836,3.0,2.6415203700130445,0.018250897110701856,2.6211502594023326,2.6340885480957463,2.64702683678916,2.6517054253184007,2.6563840138476413,3.0,-0.011362810315000001,0.038839530689286236,-0.05326317265,-0.0287621133325,-0.004261054015,0.009587370852499999,0.02343579572,3.0,0.09516353702166667,0.015011646335747803,0.078296869915,0.0892158170075,0.1001347641,0.103596870575,0.10705897705,3.0,-0.5013840044333334,0.079689141469378,-0.552871742,-0.5472791084499999,-0.5416864749,-0.47564013565,-0.40959379640000004
